ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
145,SUCCESS,1,5,26,5,2,50000,50000,1,27,27,0,27,28,2,1,2,16.58
63,SUCCESS,1,28,72,28,4,50000,50000,1,27,27,0,27,28,2,1,2,16.58
65,SUCCESS,1,30,76,30,8,150000,150000,2,27,27,0,27,30,4,1,4,33.50
151,SUCCESS,1,11,38,11,2,200000,200000,2,28,28,0,28,32,5,1,5,45.00
66,SUCCESS,1,31,78,31,8,250000,250000,4,28,28,0,28,33,6,1,6,106.65
67,SUCCESS,1,0,16,32,8,50000,50000,8,28,28,0,28,29,2,1,2,27.66
68,SUCCESS,1,1,18,33,8,100000,100000,8,28,28,0,28,30,3,1,3,52.32
69,SUCCESS,1,2,20,34,8,200000,200000,2,28,28,0,28,32,5,1,5,45.00
73,SUCCESS,1,3,22,3,2,100000,100000,1,29,29,0,29,31,3,1,3,19.50
74,SUCCESS,1,4,24,4,2,200000,200000,2,29,29,0,29,33,5,1,5,45.00
155,SUCCESS,1,15,46,15,2,100000,100000,1,29,29,0,29,31,3,1,3,19.50
156,SUCCESS,1,16,48,16,2,200000,200000,2,29,29,0,29,33,5,1,5,45.00
79,SUCCESS,1,9,34,9,2,200000,200000,1,30,30,0,30,34,5,1,5,30.33
81,SUCCESS,1,11,38,11,2,250000,250000,2,30,30,2,32,37,6,3,8,75.00
161,SUCCESS,1,21,58,21,4,200000,200000,1,30,30,0,30,34,5,1,5,30.33
163,SUCCESS,1,23,62,23,4,250000,250000,2,30,30,0,30,35,6,1,6,60.82
