ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
38,SUCCESS,2,3,16,3,2,50000,50000,2,14,38,0,38,39,2,24,26,52.67
120,SUCCESS,2,12,16,12,2,50000,50000,2,14,41,0,41,42,1,27,28,57.00
39,SUCCESS,2,26,16,26,4,200000,200000,4,14,93,0,93,97,5,79,84,1012.32
121,SUCCESS,2,30,16,30,8,200000,200000,4,14,134,0,134,138,5,120,125,1504.32
37,SUCCESS,2,31,16,31,8,250000,250000,8,14,271,0,271,276,5,257,262,7875.00
119,SUCCESS,2,31,16,31,8,250000,250000,8,14,163,0,163,168,5,149,154,4635.00
40,SUCCESS,2,1,16,1,2,100000,100000,1,15,42,0,42,44,3,27,30,58.67
122,SUCCESS,2,7,16,7,2,100000,100000,1,15,45,0,45,47,3,30,33,63.17
123,SUCCESS,2,13,16,13,2,150000,150000,2,15,42,0,42,45,4,27,31,150.50
43,SUCCESS,2,25,16,25,4,50000,50000,4,15,136,0,136,137,1,121,122,381.00
125,SUCCESS,2,31,16,31,8,50000,50000,4,15,134,0,134,135,1,119,120,375.00
41,SUCCESS,2,1,16,33,8,150000,150000,2,15,42,0,42,45,4,27,31,150.50
42,SUCCESS,2,2,16,34,8,250000,250000,8,15,164,0,164,169,6,149,155,4638.30
44,SUCCESS,2,21,16,21,4,200000,200000,1,16,46,0,46,50,5,30,35,117.33
45,SUCCESS,2,21,16,21,4,150000,150000,4,16,137,0,137,140,4,121,125,1131.99
47,SUCCESS,2,24,16,24,4,50000,50000,2,16,48,0,48,49,2,32,34,64.66
127,SUCCESS,2,25,16,25,4,150000,150000,4,16,45,0,45,48,4,29,33,303.99
49,SUCCESS,2,27,16,27,4,150000,150000,4,16,50,0,50,53,4,34,38,348.99
131,SUCCESS,2,27,16,27,4,150000,150000,4,16,46,0,46,49,4,30,34,312.99
126,SUCCESS,2,29,16,29,4,200000,200000,1,16,48,0,48,52,5,32,37,123.33
129,SUCCESS,2,30,16,30,8,50000,50000,2,16,50,0,50,51,2,34,36,67.66
130,SUCCESS,2,31,16,31,8,100000,100000,8,16,283,6,289,291,3,274,276,3328.32
50,SUCCESS,2,2,16,2,2,200000,200000,2,17,51,0,51,55,5,34,39,243.66
135,SUCCESS,2,10,16,10,2,100000,100000,2,17,53,0,53,55,3,36,39,129.33
132,SUCCESS,2,12,16,12,2,200000,200000,2,17,54,0,54,58,5,37,42,261.66
134,SUCCESS,2,16,16,16,2,50000,50000,1,17,51,0,51,52,2,34,36,41.33
53,SUCCESS,2,26,16,26,4,100000,100000,2,17,53,0,53,55,3,36,39,129.33
54,SUCCESS,2,27,16,27,4,200000,200000,4,17,53,0,53,57,5,37,41,508.32
52,SUCCESS,2,31,16,31,8,50000,50000,1,17,52,0,52,53,2,35,37,42.08
137,SUCCESS,2,2,16,34,8,150000,150000,8,21,56,2,58,61,4,38,41,754.98
56,SUCCESS,2,1,16,33,8,250000,250000,4,22,57,0,57,62,6,35,41,616.65
138,SUCCESS,2,2,16,34,8,250000,250000,4,22,58,3,61,66,6,40,45,690.00
